ID,FaveAnimal,ComfortPythonWeek1,NumSiblings,ReadTermsAndConditions,AlgorithmTrust,NumTabs,SuperbowlTeam,WeatherRating,FaveArtist,KendrickVDrake,MostRecentMathCourse,NumBeverages,HoursOfSleep,Fruit,CerealEqualsSoup,NumSiblings2,PythonComfortWeek9,FaveSeptaLine,BreakfastRank,FaveTopics,RandomDate,StudyBreaks,PythonComfortWeek4,NumberUnreadEmails,
0217,seals,2,0,Never,5,13,Philadelphia Eagles,1,Hozier,Kendrick Lamar,Linear algebra,1,8.5,pineapple,No,0,4,B - Broad Street,Sausage and Eggs;Breakfast Sandwich;Pancakes;Omelet ;French Toast;Regional Item ;,data cleaning,11/21/2003,when i finish a task or i’m too tired to continue,3,17,
0417,anteater!,1,1,Never,2,57,Philadelphia Eagles,2,glen campbell,Kendrick Lamar,linear algebra! ,2,8,kiwi,No,1,1,L - Market Frankford,Breakfast Sandwich;Regional Item ;Omelet ;Pancakes;French Toast;Sausage and Eggs;,idk if this is a topic but i liked weapons of math destruction ,8/27/2005,not often #academicweapon,1,3,
0424,cat,2,1,Sometimes,5,8,Philadelphia Eagles,3,Bad bunny ,Kendrick Lamar,Taking Currently AP Statistics,2,7,Mango,No,1,3,Regional Rail,Regional Item ;Breakfast Sandwich;French Toast;Pancakes;Omelet ;Sausage and Eggs;,Data processing ,,,,,
1010,Rabbits?,5,3,Never,8,"only two, but i usually have more than one browser with more than 8 each ",Philadelphia Eagles,3,nancy ajram,Kendrick Lamar,linear algebra,2,7,pomegranate ,No,3,4,Regional Rail,Breakfast Sandwich;Pancakes;Omelet ;French Toast;Sausage and Eggs;Regional Item ;,,20/11/2024,10,5,1456,
1202,Panda,1,1,Never,5,62,Philadelphia Eagles,2,Maisie Peters,Kendrick Lamar,Stats 104,1,9,Strawberry,No,1,,,,,12/2/2002,Very frequently,1,316,
1404,,,,,,,Philadelphia Eagles,2,Jackson Pollock,Kendrick Lamar,linear algebra,2,8,peach,Yes,1,4,Regional Rail,Breakfast Sandwich;Pancakes;Regional Item ;Omelet ;Sausage and Eggs;French Toast;,Data Cleaning,6/2/2003,5min per hour,4,14,
1632,,,,,,,Philadelphia Eagles,3,N/A,Kendrick Lamar,Modelling and Simulation ,2,7,,No,1,2,B - Broad Street,French Toast;Pancakes;Regional Item ;Breakfast Sandwich;Sausage and Eggs;Omelet ;,,4-Apr-04,Often,1,4912 personal,
1696,,1,0,Never,4,15,Philadelphia Eagles,3,Taylor Swift,Kendrick Lamar,Statistical analysis in psychology ,3,7,,No,0,2,Regional Rail,French Toast;Sausage and Eggs;Breakfast Sandwich;Regional Item ;Pancakes;Omelet ;,,5/27/2007,Every 20 minutes,1,9246,
1737,"Super tough, I love a lot of animals",2,0,Never,6,4,Philadelphia Eagles,3,Suuuper tough but at the moment I'm enjoying Kaytranada!,Kendrick Lamar,Biostatistics,2,7,Mango,No,0,2,Regional Rail,Regional Item ;Breakfast Sandwich;French Toast;Omelet ;Sausage and Eggs;Pancakes;,Challenging data neutrality,24-Mar-25,"I don't really have set breaks—I just get distracted periodically, LOL.",1,3,
1957,Lamb  ,3,6,Sometimes,4,14 😭,Philadelphia Eagles,1,Hillsong ,,Calc 1,,,,,,,,,,Monday February 25 2025,4,3,4291,
2121,Lion,2,1,Sometimes,6,4,Philadelphia Eagles,2,A.R. Rahman,Kendrick Lamar,Math 102,,,,,,3,Regional Rail,Pancakes;French Toast;Breakfast Sandwich;Regional Item ;Omelet ;Sausage and Eggs;,Cleaning date,,,,,
2266,cat,1,1,Never,5,1,Philadelphia Eagles,1,fiona apple,Kendrick Lamar,linear algebra,1,9,apple,No,1,2,Regional Rail,Breakfast Sandwich;French Toast;Pancakes;Omelet ;Sausage and Eggs;Regional Item ;,data visceralization,,,,,
2646,,,,,,,Philadelphia Eagles,2,Alice Neel,Kendrick Lamar,Statistics,,,,,,,,,,,,,,
3006,tiger,2,4,Never,6,11,Philadelphia Eagles,3,QUEEN,Kendrick Lamar,Intro to Modeling and Simulations,2,9,pomegranate ,No,5,3,Regional Rail,Omelet ;Sausage and Eggs;Breakfast Sandwich;Regional Item ;Pancakes;French Toast;,data cleaning,11/3/2003,every forty minutes,3,268,
3131,Quokka,3,1,Never,3,9,Kansas City Chiefs,4,Gracie Abrams,Kendrick Lamar,Linear Algebra Currently ,,,,,,2,Regional Rail,Omelet ;French Toast;Pancakes;Breakfast Sandwich;Sausage and Eggs;Regional Item ;,Missing data imputation,"2001, January 3rd",Every 1 hour,2,9810,
3284,Red panda ,3,One ,Sometimes,4,,Philadelphia Eagles,2,"Very had to choose, but I really like listening to indie and pop music",,Psyc205 Research methods and statistics ,,,Strawberry,No,1,,,,,11-Dec-10,Every 30 minutes to 1 hour,3,43,
3395,Hummingbird,1,0,Sometimes,6,3,I do not care about football ,3,,,Calculus ,2,7,blackberry,No,0,,,,,3-Oct-12,Every hour or so,1,1,
3449,House cat,3,2.5,Sometimes,4,6,Philadelphia Eagles,2,Doechii,Drake,Math 501 Graduate Real Analysis,1,7.5,Kiwi,No,2.5,3,T - West Philly Trolley ,Pancakes;French Toast;Omelet ;Breakfast Sandwich;Sausage and Eggs;Regional Item ;,Algorithmic Bias,,,,,
3810,Squid,2,2,Sometimes,3,28,I do not care about football ,3,NA,Kendrick Lamar,Intro statistics,1,7,Banana,No,2,3,Septa Bus (any route) ,Omelet ;French Toast;Regional Item ;Pancakes;Sausage and Eggs;Breakfast Sandwich;,I liked when we worked in groups to complete the urban planning exercise it’s interesting to learn how the use of AI can create biases,,,,,
4810,dog,1,2,Never,5,21,Philadelphia Eagles,3,Jade Thirlwall,Kendrick Lamar,"History of Mathematics, Modeling and Simulation (currently taking both)",3,5,pineapple,No,2,2,Regional Rail,Pancakes;Regional Item ;French Toast;Omelet ;Breakfast Sandwich;Sausage and Eggs;,,6/18/2004,once every 15-30 minutes,2,0,
4816,dragons,2,1,Sometimes,3,At least 1000 split between three devices and 7 browser windows,,,,,,,,,,,,,,,,,,,
5262,turtles ,5,1,Sometimes,3,58,Philadelphia Eagles,2,Lizzie mcalpine,Kendrick Lamar,Linear algebra,,,,,,,,,,11/27/2006,"Once I finish atleast 50% of any long assignment. For short assignments, I usually take a break once I finish them.",5,53,
5557,dog,1,1,Never,2,11,Philadelphia Eagles,2,,Kendrick Lamar,Multivariable Calculus,2,9,mango,No,1,2,Regional Rail,Pancakes;French Toast;Omelet ;Breakfast Sandwich;Regional Item ;Sausage and Eggs;,,24-Jun-88,every half hour or so,2,242,
6377,Sea Turtles,1,0,Never,3,5,Philadelphia Eagles,2,Hozier ,Kendrick Lamar,Multivariate Statistics,2,7.5,Coconut,No,0,,,,,"Tuesday, February 24, 1890",45693,1,5,
7315,Frog,1,1,Sometimes,3,9,Philadelphia Eagles,1,Lucy Dacus,Kendrick Lamar,Calc 2,1,7,dragonfruit,No,1,2,Regional Rail,Breakfast Sandwich;French Toast;Pancakes;Sausage and Eggs;Omelet ;Regional Item ;,Graphs,1/31/2016,2,1,320,
7700,pigeon,1,0,Never,3,27,Philadelphia Eagles,4,Noah Kahan,Kendrick Lamar,Intro Probability and Stats,1,8,pear,No,0,1,Regional Rail,French Toast;Regional Item ;Omelet ;Breakfast Sandwich;Pancakes;Sausage and Eggs;,data visualizations,3-Aug-06,as needed,1,11,
7730,hedgehog,1,0,Never,3,144,Philadelphia Eagles,3,Elton John,Kendrick Lamar,Probability and Statistics ,2,4,strawberry,No,0,1,Regional Rail,Pancakes;French Toast;Breakfast Sandwich;Regional Item ;Omelet ;Sausage and Eggs;,,,,,,
8272,Giraffe,1,2,Never,6,5,Philadelphia Eagles,3,Tems,Kendrick Lamar,Calculus 3,1,6,A mango,No,2,2,Regional Rail,Sausage and Eggs;Omelet ;Breakfast Sandwich;French Toast;Pancakes;Regional Item ;,Data cleaning ,,,,,
8738,Chinchilla,3,1,Sometimes,3,5,,,,,,,,,,,,,,,,,,,
9662,,,,,,,Philadelphia Eagles,3,Lilyisthatyou ,Kendrick Lamar,Calc 1,3,"2.5, but that was an anomaly for me ",Pomegranate ,,1,1,L - Market Frankford,Regional Item ;French Toast;Breakfast Sandwich;Pancakes;Sausage and Eggs;Omelet ;,The history of data being strategically used to uphold harmful systems and practices ,,,,,
